iter	Passed	Remaining
663	1111	562
664	1113	560
665	1114	559
666	1116	557
667	1117	555
668	1119	553
669	1120	552
670	1122	550
671	1124	548
672	1125	546
673	1127	545
674	1128	543
675	1130	541
676	1131	539
677	1133	538
678	1134	536
679	1136	534
680	1137	533
681	1139	531
682	1140	529
683	1142	527
684	1144	526
685	1145	524
686	1147	522
687	1148	520
688	1150	519
689	1152	517
690	1153	515
691	1155	514
692	1158	513
693	1160	511
694	1163	510
695	1165	509
696	1168	507
697	1171	506
698	1173	505
699	1175	503
700	1177	502
701	1179	500
702	1180	498
703	1182	497
704	1184	495
705	1185	493
706	1188	492
707	1190	490
708	1191	489
709	1193	487
710	1194	485
711	1196	483
712	1197	482
713	1199	480
714	1201	478
715	1203	477
716	1205	475
717	1206	473
718	1208	472
719	1210	470
720	1211	468
721	1213	467
722	1214	465
723	1216	463
724	1217	461
725	1219	460
726	1221	458
727	1222	456
728	1224	455
729	1225	453
730	1227	451
731	1229	449
732	1230	448
733	1231	446
734	1233	444
735	1235	443
736	1236	441
737	1238	439
738	1239	437
739	1241	436
740	1242	434
741	1244	432
742	1245	430
743	1247	429
744	1248	427
745	1250	425
746	1251	424
747	1253	422
748	1254	420
749	1256	418
750	1258	417
751	1259	415
752	1261	413
753	1262	411
754	1264	410
755	1265	408
756	1267	406
757	1268	405
758	1270	403
759	1271	401
760	1273	399
761	1274	398
762	1276	396
763	1277	394
764	1279	393
765	1280	391
766	1282	389
767	1284	387
768	1285	386
769	1287	384
770	1288	382
771	1290	381
772	1291	379
773	1293	377
774	1294	375
775	1296	374
776	1298	372
777	1299	370
778	1301	369
779	1302	367
780	1304	365
781	1305	364
782	1307	362
783	1308	360
784	1310	358
785	1311	357
786	1313	355
787	1315	353
788	1316	352
789	1318	350
790	1320	348
791	1321	347
792	1322	345
793	1324	343
794	1326	341
795	1327	340
796	1329	338
797	1330	336
798	1332	335
799	1334	333
800	1335	331
801	1337	330
802	1338	328
803	1340	326
804	1341	325
805	1343	323
806	1345	321
807	1346	320
808	1348	318
809	1349	316
810	1351	314
811	1353	313
812	1354	311
813	1356	309
814	1357	308
815	1359	306
816	1360	304
817	1362	303
818	1363	301
819	1365	299
820	1366	297
821	1368	296
822	1369	294
823	1371	292
824	1373	291
825	1374	289
826	1376	287
827	1377	286
828	1379	284
829	1380	282
830	1382	281
831	1383	279
832	1385	277
833	1386	276
834	1388	274
835	1389	272
836	1391	271
837	1393	269
838	1394	267
839	1396	265
840	1397	264
841	1399	262
842	1400	260
843	1402	259
844	1404	257
845	1405	255
846	1407	254
847	1409	252
848	1411	250
849	1412	249
850	1414	247
851	1415	245
852	1417	244
853	1419	242
854	1420	240
855	1422	239
856	1423	237
857	1424	235
858	1426	234
859	1428	232
860	1430	230
861	1431	229
862	1433	227
863	1434	225
864	1436	224
865	1437	222
866	1439	220
867	1441	219
868	1442	217
869	1443	215
870	1445	214
871	1446	212
872	1448	210
873	1450	209
874	1451	207
875	1453	205
876	1454	204
877	1456	202
878	1457	200
879	1459	198
880	1460	197
881	1462	195
882	1463	193
883	1465	192
884	1466	190
885	1468	188
886	1469	187
887	1471	185
888	1472	183
889	1474	182
890	1475	180
891	1477	178
892	1478	177
893	1480	175
894	1481	173
895	1483	172
896	1484	170
897	1486	168
898	1488	167
899	1489	165
900	1491	163
901	1492	162
902	1494	160
903	1495	158
904	1497	157
905	1498	155
906	1500	153
907	1501	152
908	1503	150
909	1504	148
910	1506	147
911	1508	145
912	1509	143
913	1511	142
914	1512	140
915	1514	138
916	1515	137
917	1518	135
918	1520	134
919	1521	132
920	1523	130
921	1525	129
922	1526	127
923	1528	125
924	1529	124
925	1531	122
926	1532	120
927	1534	119
928	1536	117
929	1538	115
930	1539	114
931	1541	112
932	1542	110
933	1544	109
934	1546	107
935	1547	105
936	1549	104
937	1551	102
938	1552	100
939	1554	99
940	1555	97
941	1557	95
942	1558	94
943	1560	92
944	1561	90
945	1563	89
946	1565	87
947	1566	85
948	1568	84
949	1569	82
950	1571	80
951	1572	79
952	1574	77
953	1575	75
954	1577	74
955	1578	72
956	1579	70
957	1582	69
958	1583	67
959	1585	66
960	1586	64
961	1588	62
962	1589	61
963	1591	59
964	1592	57
965	1594	56
966	1596	54
967	1597	52
968	1599	51
969	1601	49
970	1602	47
971	1604	46
972	1605	44
973	1607	42
974	1608	41
975	1610	39
976	1611	37
977	1613	36
978	1614	34
979	1616	32
980	1617	31
981	1619	29
982	1620	28
983	1622	26
984	1624	24
985	1625	23
986	1627	21
987	1629	19
988	1632	18
989	1634	16
990	1635	14
991	1637	13
992	1639	11
993	1640	9
994	1642	8
995	1644	6
996	1645	4
997	1647	3
998	1649	1
999	1650	0
